id,quesno,ques_counter,ans,,ansval,,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
6630b3fd68ec27.60264235,6,1,phishing,31,35,Phishing,61,"Click link/ Open attachment,","Based upon body of the email,,",Authority Bias,Human,Tue Apr 30 2024 14:38:32 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:38:39 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:37:44 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:39:15 GMT+0530 (India Standard Time),0,0,Not used,,
6630b3fd68ec27.60264235,1,2,genuine,29,100,Genuine,100,"Click link/ Open attachment,","Based upon senders email address,,",NA,NA,Tue Apr 30 2024 14:40:06 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:40:10 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:40:31 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:40:47 GMT+0530 (India Standard Time),0,0,Not used,,
6630b3fd68ec27.60264235,5,3,genuine,-50,65,Genuine,66,"Read the email and do nothing,","Based upon senders email address,Based upon the date in the email,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 14:41:24 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:41:26 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:41:44 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:41:55 GMT+0530 (India Standard Time),0,0,Not used,,
6630b3fd68ec27.60264235,4,4,phishing,-50,0,Phishing,100,"Move to spam,","Based upon body of the email,,",Halo Effect,Human,Tue Apr 30 2024 14:42:41 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:42:43 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:42:50 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:43:02 GMT+0530 (India Standard Time),0,0,Not used,,
6630b3fd68ec27.60264235,7,5,genuine,-50,57,Genuine,57,"Respond to this email,","Based upon body of the email,,",NA,NA,Tue Apr 30 2024 14:43:58 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:44:01 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:44:18 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:44:34 GMT+0530 (India Standard Time),0,0,Not used,,
6630b3fd68ec27.60264235,3,6,genuine,-50,100,Genuine,100,"Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 14:44:54 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:44:56 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:45:02 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:45:11 GMT+0530 (India Standard Time),0,0,Not used,,
6630b3fd68ec27.60264235,2,7,genuine,-50,63,Phishing,62,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,,",Recency Effect,Human,Tue Apr 30 2024 14:46:13 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:46:14 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:46:28 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:46:49 GMT+0530 (India Standard Time),0,0,Not used,,
6630b3fd68ec27.60264235,9,8,genuine,-50,69,Genuine,70,"Read the email and do nothing,Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 14:47:41 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:47:42 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:47:46 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:47:52 GMT+0530 (India Standard Time),0,0,Not used,,
6630b3fd68ec27.60264235,10,9,phishing,-50,31,Phishing,73,"Read the email and do nothing,Delete this email,","Based upon senders email address,Based upon body of the email,,",Curiosity Effect,Human,Tue Apr 30 2024 14:48:23 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:48:26 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:48:31 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:48:39 GMT+0530 (India Standard Time),0,0,Not used,,
6630b3fd68ec27.60264235,8,10,phishing,-50,0,Phishing,100,"Delete this email,","Based upon body of the email,,",Hyperbolic Discounting,Human,Tue Apr 30 2024 14:48:46 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:48:47 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:49:03 GMT+0530 (India Standard Time),Tue Apr 30 2024 14:49:18 GMT+0530 (India Standard Time),0,0,Not used,,
