consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2023-12-01 10:30:53",11318,656962b8c313a3.85195954,36,43,phishing,1,90,"Delete this email,Report this email,","Based upon senders email address,,",NA,NA,"Fri Dec 01 2023 10:30:47 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:30:26 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:30:28 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:30:52 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 10:30:10",11317,656962b8c313a3.85195954,41,42,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,,","Curiosity Effect","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 10:30:02 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:30:04 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:30:06 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:30:09 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 10:29:51",11316,656962b8c313a3.85195954,43,41,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,,","Halo Effect","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 10:29:43 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:29:44 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:29:47 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:29:50 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 10:29:35",11315,656962b8c313a3.85195954,37,40,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,,","Hyperbolic Discounting","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 10:29:27 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:29:29 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:29:30 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:29:34 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 10:29:21",11314,656962b8c313a3.85195954,34,39,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,,",NA,NA,"Fri Dec 01 2023 10:29:11 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:29:13 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:29:15 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:29:20 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 10:28:57",11313,656962b8c313a3.85195954,42,38,phishing,0,100,"Read the email and do nothing,Delete this email,Report this email,","Based upon senders email address,,",NA,NA,"Fri Dec 01 2023 10:28:47 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:28:49 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:28:51 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:28:55 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 10:28:38",11312,656962b8c313a3.85195954,39,37,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,,","Recency Effect","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 10:28:26 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:28:28 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:28:31 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:28:36 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 10:28:18",11311,656962b8c313a3.85195954,38,36,genuine,100,100,"Respond to this email,","Based upon senders email address,,",NA,NA,"Fri Dec 01 2023 10:28:05 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:28:07 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:28:09 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:28:17 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 10:27:55",11310,656962b8c313a3.85195954,40,35,genuine,100,85,"Respond to this email,","Based upon senders email address,,",NA,NA,"Fri Dec 01 2023 10:27:43 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:27:46 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:27:48 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:27:54 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 10:27:23",11309,656962b8c313a3.85195954,35,34,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,,","Authority Bias","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 10:27:17 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:27:19 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:27:20 GMT+0530 (India Standard Time)","Fri Dec 01 2023 10:27:22 GMT+0530 (India Standard Time)",0,0,"Not used",,
