id,quesno,ques_counter,ans,score,ansval,actualans,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
66333548cb4856.36999253,23,14,genuine,50,100,Genuine,100,"Respond to this email,","Based upon body of the email,,",NA,NA,Thu May 02 2024 12:29:52 GMT+0530 (India Standard Time),Thu May 02 2024 12:29:54 GMT+0530 (India Standard Time),Thu May 02 2024 12:30:01 GMT+0530 (India Standard Time),Thu May 02 2024 12:30:04 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,18,15,phishing,50,0,Phishing,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon the date in the email,Based upon the link/attachment in the email,,",Curiosity Effect,Human,Thu May 02 2024 12:30:14 GMT+0530 (India Standard Time),Thu May 02 2024 12:30:16 GMT+0530 (India Standard Time),Thu May 02 2024 12:30:28 GMT+0530 (India Standard Time),Thu May 02 2024 12:30:30 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,21,16,genuine,-50,100,Phishing,100,"Read the email and do nothing,","Based upon body of the email,,",Recency Effect,Human,Thu May 02 2024 12:30:57 GMT+0530 (India Standard Time),Thu May 02 2024 12:31:08 GMT+0530 (India Standard Time),Thu May 02 2024 12:31:07 GMT+0530 (India Standard Time),Thu May 02 2024 12:31:05 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,24,17,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Thu May 02 2024 12:31:28 GMT+0530 (India Standard Time),Thu May 02 2024 12:31:29 GMT+0530 (India Standard Time),Thu May 02 2024 12:31:36 GMT+0530 (India Standard Time),Thu May 02 2024 12:31:38 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,25,19,genuine,50,100,Genuine,100,"Respond to this email,","Based upon body of the email,,",NA,NA,Thu May 02 2024 12:32:30 GMT+0530 (India Standard Time),Thu May 02 2024 12:32:32 GMT+0530 (India Standard Time),Thu May 02 2024 12:32:35 GMT+0530 (India Standard Time),Thu May 02 2024 12:32:36 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,13,21,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Thu May 02 2024 12:33:18 GMT+0530 (India Standard Time),Thu May 02 2024 12:33:28 GMT+0530 (India Standard Time),Thu May 02 2024 12:33:35 GMT+0530 (India Standard Time),Thu May 02 2024 12:33:37 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,31,22,phishing,50,0,Phishing,100,"Read the email and do nothing,","Based upon the subject line in the email,Based upon body of the email,,",Curiosity Effect,Human,Thu May 02 2024 12:33:48 GMT+0530 (India Standard Time),Thu May 02 2024 12:33:49 GMT+0530 (India Standard Time),Thu May 02 2024 12:33:52 GMT+0530 (India Standard Time),Thu May 02 2024 12:34:00 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,17,23,genuine,-50,100,Phishing,100,"Respond to this email,","Based upon senders email address,,",Authority Bias,Human,Thu May 02 2024 12:34:19 GMT+0530 (India Standard Time),Thu May 02 2024 12:34:20 GMT+0530 (India Standard Time),Thu May 02 2024 12:34:22 GMT+0530 (India Standard Time),Thu May 02 2024 12:34:24 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,29,24,phishing,50,0,Phishing,100,"Report this email,","Based upon body of the email,,",Hyperbolic Discounting,Human,Thu May 02 2024 12:34:34 GMT+0530 (India Standard Time),Thu May 02 2024 12:34:35 GMT+0530 (India Standard Time),Thu May 02 2024 12:34:37 GMT+0530 (India Standard Time),Thu May 02 2024 12:34:39 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,20,26,genuine,-50,100,Phishing,100,"Read the email and do nothing,","Based upon senders email address,,",Authority Bias,Human,Thu May 02 2024 12:35:27 GMT+0530 (India Standard Time),Thu May 02 2024 12:35:28 GMT+0530 (India Standard Time),Thu May 02 2024 12:35:30 GMT+0530 (India Standard Time),Thu May 02 2024 12:35:31 GMT+0530 (India Standard Time),0,0,Not used,,
