id,quesno,ques_counter,ans,,ansval,,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
6630844d0af120.26583107,32,17,phishing,46,4,Phishing,90,"Move to spam,","Based upon senders email address,Based upon body of the email,,",Recency Effect,Human,Tue Apr 30 2024 11:26:25 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:26:27 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:26:33 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:26:36 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,19,18,phishing,50,0,Phishing,100,"Move to spam,Report this email,","Based upon senders email address,Based upon body of the email,,",Hyperbolic Discounting,Human,Tue Apr 30 2024 11:26:51 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:26:52 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:26:57 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:27:01 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,14,19,genuine,50,100,Genuine,100,"Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:27:13 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:27:14 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:27:16 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:27:18 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,23,20,genuine,50,100,Genuine,100,"Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:27:26 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:27:27 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:27:31 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:27:37 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,11,21,genuine,50,100,Genuine,100,"Respond to this email,","Based upon senders email address,Based upon the date in the email,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:27:50 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:27:52 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:27:58 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:28:00 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,33,22,phishing,49,1,Phishing,98,"Move to spam,","Based upon senders email address,,",Halo Effect,Human,Tue Apr 30 2024 11:28:19 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:28:20 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:28:23 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:28:25 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,13,23,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:28:35 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:28:37 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:28:39 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:28:41 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,27,24,genuine,49,99,Genuine,95,"Respond to this email,","Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:28:57 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:28:58 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:29:00 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:29:04 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,12,26,genuine,50,100,Genuine,100,"Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:29:52 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:29:54 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:29:58 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:30:01 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,17,27,genuine,-50,100,Phishing,100,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,,",Authority Bias,Human,Tue Apr 30 2024 11:30:12 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:30:15 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:30:20 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:30:22 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,18,28,phishing,50,0,Phishing,100,"Move to spam,","Based upon senders email address,Based upon body of the email,,",Curiosity Effect,Human,Tue Apr 30 2024 11:30:42 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:30:44 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:30:51 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:30:53 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,21,29,phishing,46,4,Phishing,89,"Move to spam,","Based upon the subject line in the email,Based upon body of the email,,",Recency Effect,Human,Tue Apr 30 2024 11:31:22 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:31:24 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:31:30 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:31:32 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,26,30,genuine,50,100,Genuine,98,"Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:31:52 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:31:53 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:31:59 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:32:01 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,15,31,genuine,49,99,Genuine,93,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:32:26 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:32:27 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:32:33 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:32:42 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,25,32,genuine,48,98,Genuine,97,"Respond to this email,","Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:33:05 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:33:06 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:33:08 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:33:10 GMT+0530 (India Standard Time),0,0,Not used,,
