id+V1EA1:T1,quesno,ques_counter,ans,score,ansval,actualans,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
662f463eeeca12.81788745,12,26,genuine,50,89,Genuine,97,"Read the email and do nothing,Respond to this email,","Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:55:05 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:55:06 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:55:11 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:55:19 GMT+0530 (India Standard Time),0,0,Used,Mon Apr 29 2024 12:54:49 GMT+0530 (India Standard Time),83
662f463eeeca12.81788745,11,28,genuine,-5,100,Phishing,100,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:56:14 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:56:16 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:56:24 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:56:29 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,21,29,genuine,-32,87,Genuine,90,"Read the email and do nothing,","Based upon the subject line in the email,Based upon body of the email,,",Recency Effect,Human,Mon Apr 29 2024 12:57:11 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:57:12 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:57:23 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:57:25 GMT+0530 (India Standard Time),0,0,Used,Mon Apr 29 2024 12:56:55 GMT+0530 (India Standard Time),55
662f463eeeca12.81788745,26,31,genuine,-37,94,Phishing,98,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:58:38 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:58:39 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:58:52 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:58:56 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,27,32,genuine,50,85,Genuine,95,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:59:50 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:59:46 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:59:56 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:00:00 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,25,33,genuine,-50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 13:00:17 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:00:20 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:00:32 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:00:35 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,35,34,genuine,-9,55,Phishing,52,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",Authority Bias,Human,Mon Apr 29 2024 13:01:21 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:01:22 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:01:26 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:01:29 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,42,35,genuine,50,82,Phishing,83,"Read the email and do nothing,","Based upon body of the email,,",NA,NA,Mon Apr 29 2024 13:01:57 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:01:58 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:02:00 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:02:05 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,37,36,phishing,-50,13,Genuine,89,"Move to spam,","Based upon the subject line in the email,Based upon body of the email,,",Hyperbolic Discounting,Human,Mon Apr 29 2024 13:02:29 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:02:30 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:02:41 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:02:44 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,34,37,genuine,-28,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 13:02:54 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:02:56 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:03:03 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:03:06 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,38,38,genuine,-17,100,Phishing,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 13:03:16 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:03:47 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:03:29 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:03:36 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,39,39,genuine,-50,59,Phishing,59,"Read the email and do nothing,","Based upon the date in the email,,",Recency Effect,Human,Mon Apr 29 2024 13:04:24 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:04:18 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:04:21 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:04:27 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,43,40,phishing,-50,0,Phishing,100,"Move to spam,","Based upon body of the email,,",Halo Effect,Human,Mon Apr 29 2024 13:04:57 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:04:58 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:05:01 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:05:03 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,40,41,genuine,-50,100,Phishing,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 13:05:21 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:05:23 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:05:30 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:05:32 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,36,42,genuine,-50,78,Phishing,80,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 13:05:56 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:05:57 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:06:00 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:06:02 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,41,43,genuine,-50,67,Phishing,67,"Read the email and do nothing,","Based upon body of the email,,",Curiosity Effect,Human,Mon Apr 29 2024 13:06:30 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:06:32 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:06:34 GMT+0530 (India Standard Time),Mon Apr 29 2024 13:06:37 GMT+0530 (India Standard Time),0,0,Not used,,
