id,quesno,ques_counter,ans,score,ansval,actualans,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
66337870b65fe2.53255438,7,1,genuine,1,51,Genuine,100,"Respond to this email,","Based upon body of the email,,",NA,NA,Thu May 02 2024 17:01:20 GMT+0530 (India Standard Time),Thu May 02 2024 16:59:44 GMT+0530 (India Standard Time),Thu May 02 2024 17:00:35 GMT+0530 (India Standard Time),Thu May 02 2024 17:01:13 GMT+0530 (India Standard Time),0,0,Not used,,
66337870b65fe2.53255438,2,2,genuine,-14,64,Phishing,66,"Click link/ Open attachment,","Based upon the link/attachment in the email,,",Recency Effect,Human,Thu May 02 2024 17:02:14 GMT+0530 (India Standard Time),Thu May 02 2024 17:02:16 GMT+0530 (India Standard Time),Thu May 02 2024 17:02:24 GMT+0530 (India Standard Time),Thu May 02 2024 17:01:56 GMT+0530 (India Standard Time),0,0,Not used,,
66337870b65fe2.53255438,3,3,genuine,50,100,Genuine,100,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon the link/attachment in the email,,",NA,NA,Thu May 02 2024 17:02:42 GMT+0530 (India Standard Time),Thu May 02 2024 17:02:44 GMT+0530 (India Standard Time),Thu May 02 2024 17:03:08 GMT+0530 (India Standard Time),Thu May 02 2024 17:03:13 GMT+0530 (India Standard Time),0,0,Not used,,
66337870b65fe2.53255438,10,4,phishing,50,0,Phishing,100,"Move to spam,","Based upon senders email address,Based upon the subject line in the email,,",Curiosity Effect,Human,Thu May 02 2024 17:03:24 GMT+0530 (India Standard Time),Thu May 02 2024 17:03:29 GMT+0530 (India Standard Time),Thu May 02 2024 17:03:41 GMT+0530 (India Standard Time),Thu May 02 2024 17:03:46 GMT+0530 (India Standard Time),0,0,Not used,,
66337870b65fe2.53255438,6,5,phishing,50,0,Phishing,76,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",Authority Bias,Human,Thu May 02 2024 17:04:25 GMT+0530 (India Standard Time),Thu May 02 2024 17:04:28 GMT+0530 (India Standard Time),Thu May 02 2024 17:04:34 GMT+0530 (India Standard Time),Thu May 02 2024 17:04:38 GMT+0530 (India Standard Time),0,0,Not used,,
66337870b65fe2.53255438,9,6,genuine,27,77,Genuine,77,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Thu May 02 2024 17:04:51 GMT+0530 (India Standard Time),Thu May 02 2024 17:04:53 GMT+0530 (India Standard Time),Thu May 02 2024 17:05:07 GMT+0530 (India Standard Time),Thu May 02 2024 17:05:04 GMT+0530 (India Standard Time),0,0,Not used,,
66337870b65fe2.53255438,4,7,phishing,50,0,Phishing,100,"Move to spam,","Based upon senders email address,,",Halo Effect,Human,Thu May 02 2024 17:05:35 GMT+0530 (India Standard Time),Thu May 02 2024 17:05:37 GMT+0530 (India Standard Time),Thu May 02 2024 17:05:39 GMT+0530 (India Standard Time),Thu May 02 2024 17:05:41 GMT+0530 (India Standard Time),0,0,Not used,,
66337870b65fe2.53255438,5,8,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,,",NA,NA,Thu May 02 2024 17:05:50 GMT+0530 (India Standard Time),Thu May 02 2024 17:05:53 GMT+0530 (India Standard Time),Thu May 02 2024 17:05:57 GMT+0530 (India Standard Time),Thu May 02 2024 17:05:59 GMT+0530 (India Standard Time),0,0,Not used,,
66337870b65fe2.53255438,1,9,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon the link/attachment in the email,,",NA,NA,Thu May 02 2024 17:06:06 GMT+0530 (India Standard Time),Thu May 02 2024 17:06:08 GMT+0530 (India Standard Time),Thu May 02 2024 17:06:20 GMT+0530 (India Standard Time),Thu May 02 2024 17:06:35 GMT+0530 (India Standard Time),0,0,Not used,,
66337870b65fe2.53255438,8,10,phishing,50,0,Phishing,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,,",Hyperbolic Discounting,Human,Thu May 02 2024 17:06:49 GMT+0530 (India Standard Time),Thu May 02 2024 17:06:51 GMT+0530 (India Standard Time),Thu May 02 2024 17:06:57 GMT+0530 (India Standard Time),Thu May 02 2024 17:07:00 GMT+0530 (India Standard Time),0,0,Not used,,
