id,quesno,ques_counter,ans,,ansval,,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
6631df1b4a0683.80676057,8,1,phishing,50,0,Phishing,82,"Move to spam,Report this email,","Based upon senders email address,Based upon body of the email,,",Hyperbolic Discounting,Human,Wed May 01 2024 11:53:14 GMT+0530 (India Standard Time),Wed May 01 2024 11:53:18 GMT+0530 (India Standard Time),Wed May 01 2024 11:53:29 GMT+0530 (India Standard Time),Wed May 01 2024 11:53:43 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,4,2,phishing,50,0,Phishing,89,"Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,,",Halo Effect,Human,Wed May 01 2024 11:54:16 GMT+0530 (India Standard Time),Wed May 01 2024 11:54:17 GMT+0530 (India Standard Time),Wed May 01 2024 11:54:27 GMT+0530 (India Standard Time),Wed May 01 2024 11:54:36 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,10,3,genuine,-1,51,Phishing,83,"Move to spam,","Based upon body of the email,Based upon the link/attachment in the email,,",Curiosity Effect,Human,Wed May 01 2024 11:55:03 GMT+0530 (India Standard Time),Wed May 01 2024 11:54:59 GMT+0530 (India Standard Time),Wed May 01 2024 11:55:15 GMT+0530 (India Standard Time),Wed May 01 2024 11:55:18 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,1,4,phishing,-50,0,Genuine,89,"Report this email,","Based upon senders email address,,",NA,NA,Wed May 01 2024 11:55:36 GMT+0530 (India Standard Time),Wed May 01 2024 11:55:39 GMT+0530 (India Standard Time),Wed May 01 2024 11:55:41 GMT+0530 (India Standard Time),Wed May 01 2024 11:55:49 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,5,5,genuine,47,97,Genuine,89,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon the date in the email,Based upon body of the email,,",NA,NA,Wed May 01 2024 11:57:04 GMT+0530 (India Standard Time),Wed May 01 2024 11:57:06 GMT+0530 (India Standard Time),Wed May 01 2024 11:57:14 GMT+0530 (India Standard Time),Wed May 01 2024 11:57:17 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,2,6,phishing,50,0,Phishing,85,"Move to spam,Report this email,","Based upon the link/attachment in the email,,",Recency Effect,Human,Wed May 01 2024 11:57:45 GMT+0530 (India Standard Time),Wed May 01 2024 11:57:47 GMT+0530 (India Standard Time),Wed May 01 2024 11:57:49 GMT+0530 (India Standard Time),Wed May 01 2024 11:57:55 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,6,7,phishing,49,1,Phishing,69,"Read the email and do nothing,","Based upon body of the email,,",Authority Bias,Human,Wed May 01 2024 11:58:27 GMT+0530 (India Standard Time),Wed May 01 2024 11:58:30 GMT+0530 (India Standard Time),Wed May 01 2024 11:58:34 GMT+0530 (India Standard Time),Wed May 01 2024 11:58:40 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,9,8,genuine,48,98,Genuine,75,"Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,Wed May 01 2024 11:59:10 GMT+0530 (India Standard Time),Wed May 01 2024 11:59:12 GMT+0530 (India Standard Time),Wed May 01 2024 11:59:18 GMT+0530 (India Standard Time),Wed May 01 2024 11:59:23 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,3,9,genuine,48,98,Genuine,82,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,",NA,NA,Wed May 01 2024 11:59:46 GMT+0530 (India Standard Time),Wed May 01 2024 11:59:47 GMT+0530 (India Standard Time),Wed May 01 2024 12:00:03 GMT+0530 (India Standard Time),Wed May 01 2024 12:00:09 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,7,10,genuine,48,98,Genuine,81,"Respond to this email,","Based upon body of the email,,",NA,NA,Wed May 01 2024 12:00:56 GMT+0530 (India Standard Time),Wed May 01 2024 12:00:57 GMT+0530 (India Standard Time),Wed May 01 2024 12:01:00 GMT+0530 (India Standard Time),Wed May 01 2024 12:01:08 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,13,11,genuine,49,99,Genuine,95,"Read the email and do nothing,Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,Wed May 01 2024 12:01:44 GMT+0530 (India Standard Time),Wed May 01 2024 12:01:45 GMT+0530 (India Standard Time),Wed May 01 2024 12:01:50 GMT+0530 (India Standard Time),Wed May 01 2024 12:01:57 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,31,12,phishing,50,0,Phishing,100,"Move to spam,Report this email,","Based upon body of the email,,",Curiosity Effect,Human,Wed May 01 2024 12:02:27 GMT+0530 (India Standard Time),Wed May 01 2024 12:02:29 GMT+0530 (India Standard Time),Wed May 01 2024 12:02:31 GMT+0530 (India Standard Time),Wed May 01 2024 12:02:34 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,12,13,genuine,49,99,Genuine,96,"Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,Wed May 01 2024 12:03:17 GMT+0530 (India Standard Time),Wed May 01 2024 12:03:19 GMT+0530 (India Standard Time),Wed May 01 2024 12:03:22 GMT+0530 (India Standard Time),Wed May 01 2024 12:03:24 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,14,14,genuine,49,99,Genuine,93,"Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,",NA,NA,Wed May 01 2024 12:03:49 GMT+0530 (India Standard Time),Wed May 01 2024 12:03:50 GMT+0530 (India Standard Time),Wed May 01 2024 12:03:53 GMT+0530 (India Standard Time),Wed May 01 2024 12:03:55 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,24,15,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Wed May 01 2024 12:04:25 GMT+0530 (India Standard Time),Wed May 01 2024 12:04:24 GMT+0530 (India Standard Time),Wed May 01 2024 12:04:28 GMT+0530 (India Standard Time),Wed May 01 2024 12:04:30 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,33,16,phishing,50,0,Phishing,100,"Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon body of the email,,",Halo Effect,Human,Wed May 01 2024 12:04:49 GMT+0530 (India Standard Time),Wed May 01 2024 12:04:51 GMT+0530 (India Standard Time),Wed May 01 2024 12:04:55 GMT+0530 (India Standard Time),Wed May 01 2024 12:04:59 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,20,17,phishing,1,49,Phishing,100,"Read the email and do nothing,","Based upon body of the email,,",Authority Bias,Human,Wed May 01 2024 12:05:52 GMT+0530 (India Standard Time),Wed May 01 2024 12:05:43 GMT+0530 (India Standard Time),Wed May 01 2024 12:05:45 GMT+0530 (India Standard Time),Wed May 01 2024 12:05:47 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,17,18,phishing,50,0,Phishing,100,"Move to spam,Delete this email,Report this email,","Based upon body of the email,,",Authority Bias,Human,Wed May 01 2024 12:06:09 GMT+0530 (India Standard Time),Wed May 01 2024 12:06:10 GMT+0530 (India Standard Time),Wed May 01 2024 12:06:12 GMT+0530 (India Standard Time),Wed May 01 2024 12:06:16 GMT+0530 (India Standard Time),0,0,Not used,,
6631df1b4a0683.80676057,25,19,genuine,50,100,Genuine,100,"Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,Wed May 01 2024 12:06:31 GMT+0530 (India Standard Time),Wed May 01 2024 12:06:35 GMT+0530 (India Standard Time),Wed May 01 2024 12:06:41 GMT+0530 (India Standard Time),Wed May 01 2024 12:06:44 GMT+0530 (India Standard Time),0,0,Not used,,
